가게명,구,동/상세,운영시간,위치 힌트,주소(유저가 입력),지역
헬로수미코,마포구,성산동,매일 12:00-20:00,주택가 인근,서울 마포구 월드컵북로1길 26-13,홍대
메나미죠죠,구로구,구로동,,테크노마트 B1,서울 구로구 새말로 97 신도림테크노마트 지하1층 39호,신도림
고고샵 가챠,동작구,노량진동,,노량진 학원가,서울 동작구 노량진로16길 14,노량진
가샤폰반다이오피셜샵in잠실,송파구,잠실동,매일 10:00 - 21:00,롯데월드건물 지하1층 감성교복 앞,서울 송파구 올림픽로 240,잠실
가챠파크 용산아이파크몰,용산구,한강로동,월-목 10:30-20:30 / 금-일 10:30-21:00,아이파크몰,서울 용산구 한강대로23길 55 용산역,용산
가챠샵 신도림테크노마트점,구로구,구로동,월-목 12:00-21:00 / 금-일 11:30-21:00,테크노마트 B1,서울 구로구 새말로 97 신도림테크노마트 지하1층 39호,신도림
조이하비,구로구,구로동,"매일 10:30-20:30 (2,4번째 화 휴무)",테크노마트 3층,서울 구로구 새말로 97 신도림 테크노마트 3층,신도림
펀스퀘어 타임스퀘어점,영등포구,영등포동,매일 10:30-22:00,타임스퀘어 B1,서울 영등포구 영중로 15 타임스퀘어 B1,영등포
나나가챠,성동구,성수동,매일 12:00-20:00 (월 휴무),,서울 성동구 서울숲2길 11-17 2층,성수
아이가챠,성동구,성수동,매일 11:00-20:00,,서울 성동구 연무장7가길 6 지하1층,성수
가챠파크 성수,성동구,성수동,무인 운영,,서울 성동구 연무장길 62 1층,성수
우주가챠,강남구,역삼동,월-금 13:00-21:00 / 토-일 12:00-21:00,지하1층,서울 강남구 봉은사로2길 13 지하1층,강남
가챠역,강남구,역삼동,매일 11:00-19:00 (월 휴무),강남대로,서울 강남구 강남대로 426,강남
롯데마트 제타플렉스 서울역,중구,봉래동,매일 10:00-24:00,롯데마트,서울 중구 한강대로 405,서울역
가챠오션,마포구,서교동,매일 10:00-24:00,1.5층,서울 마포구 동교로38길 29 1.5층,홍대
브라더 굿즈 가챠,마포구,노고산동,월-금 12:00-20:00 / 토-일 11:00-21:00,옆 건물 가챠샵,서울 마포구 신촌로6길 24 2층,홍대
더쿠,마포구,서교동,매일 12:00-21:00,지하1층,서울 마포구 홍익로6길 38 지하1층,홍대
JS스토어 (제이에스스토어) (홍대가챠샵 1호점),마포구,서교동,매일 12:00-20:45,1층,서울 마포구 와우산로29길 48-24 1층,홍대
반다이남코 코리아,마포구,동교동,월-금 11:00-22:00 / 토-일 10:30-22:00,AK플라자 4층,서울 마포구 양화로 188 AK플라자 4층,홍대
코끼리밥 캡슐토이,마포구,동교동,매일 11:00-22:00,EXIT 1층,서울 마포구 양화로 161 EXIT 1층,홍대
캑티 가챠샵,마포구,서교동,24시간 (연중무휴),보물찾기 홍대점 옆,서울 마포구 어울마당로 62 1층,홍대
캡슐샵 안서당,마포구,노고산동,매일 12:00-20:00,굿즈 매장,서울 마포구 신촌로2안길 52,홍대
레인몰,마포구,합정동,화-일 11:30-20:00,,서울 마포구 독막로 67-11,홍대
AK플라자 5층,마포구,동교동,월-금 11:00-22:00 / 토-일 10:30-22:00,AK플라자 5층,서울 마포구 양화로 188 AK플라자 5층,홍대
가차양,관악구,봉천동,,,서울 관악구 관악로16길 41,관악
닛시,서초구,반포동,,고속터미널 인근,서울 서초구 신반포로 200,반포
별보러가챠,광진구,화양동,,,서울 광진구 능동로 131,건대
놀이터 가챠,마포구,망원동,,,서울 마포구 포은로 89,홍대
남부터미널 국제전자센터 9층,서초구,서초동,,9층이 통채로 가챠와 게임 관련 제품 많음,서울 서초구 효령로 304,남부터미널
홍대가챠샵 놀이터점,마포구,서교동,12:00-21:00,,서울 마포구 와우산로21길 20-11,홍대
하비팩토리,마포구,서교동,11:00-22:00,,서울 마포구 양화로 108 비금빌딩,홍대
서교동 모형다방,마포구,서교동,13:00-23:00,,서울 마포구 홍익로5길 45 2층,홍대
쿄우마,마포구,동교동,,AK플라자 3층,서울 마포구 양화로 188 AK플라자 3층,홍대
팝가스토어 용산점,용산구,한강로동,일-목 10:30-20:30 / 금-토 10:30-21:00,,"용산구 한강대로23길 55, 더센터 3층 팝가스토어",용산
가챠샵 노원점,노원구,상계동,,,서울 노원구 상계로 63-7,노원
쿠쿠스페이스,마포구,서교동,매일 11:30-20:00,홍대입구역 9번 출구에서 도보 8분,서울 마포구 잔다리로 45 1층,홍대
샤리베츠,마포구,서교동,평일 13:00-20:00 / 주말 12:00-21:00,홍대입구역 7번 출구에서 도보 2분,서울 마포구 와우산로29길 66 지하1층,홍대
호카상점,마포구,동교동,평일 12:00-20:00 / 주말 11:00-21:00 (화요일 휴무),홍대입구역 7번 출구에서 도보 1분,서울 마포구 어울마당로 153-3 1층,홍대
가챠파크 (홍대),마포구,동교동,,홍대입구역 7번 출구에서 도보 3분,서울 마포구 신촌로4길 5,홍대
가샤폰 스트리트,마포구,동교동,월-금 11:00-22:00 / 토-일 10:30-22:00,AK플라자 4층,서울 마포구 양화로 188 AK플라자 4층,홍대
가차샵 구로점,구로구,구로동,,,"서울 구로구 디지털로29길 38. 101,102호",구로
츄플레이,마포구,성산동,https://place.map.kakao.com/1338083698?openhour=1,홍대입구역 3번 출구에서 48m,서울 마포구 월드컵북로2길 93 301호,홍대
코후꾸 잡화점,마포구,연남동,https://place.map.kakao.com/643402536?openhour=1,,서울 마포구 연남로3길 13 1층 2호,연남
피규어프렌즈,마포구,서교동,https://place.map.kakao.com/1537175847?openhour=1,,서울 마포구 양화로18안길 8 지하층,홍대
원피규어,마포구,서교동,,,서울 마포구 홍익로6길 14 태승빌딩 2층,홍대
꼬꼬굿즈,마포구,서교동,,,서울 마포구 와우산로27길 68 마야빌딩 3층,홍대
오타쿠만물상,마포구,서교동,,,서울 마포구 와우산로29길 9 2층,홍대
오모차랜드 홍대점,마포구,서교동,https://place.map.kakao.com/1016307090?openhour=1,,서울 마포구 홍익로5길 36 2층,홍대
오모차랜드 홍대2호점,마포구,서교동,매일 https://place.map.kakao.com/1390323823?openhour=1,,서울 마포구 양화로 156 LG팰리스빌딩 지하2층 201호,홍대
피규어프레소 홍대점,마포구,서교동,https://place.map.kakao.com/777711926?openhour=1,,서울 마포구 잔다리로6길 25 2층 201호,홍대
라신반코리아 서울본점,마포구,동교동,https://place.map.kakao.com/455057079?openhour=1,,서울 마포구 양화로 178-5,홍대
라신반 서울1호점,마포구,서교동,https://place.map.kakao.com/2133059013?openhour=1,,서울 마포구 와우산로 100 1층,홍대
롯데마트 제타플렉스 잠실점,송파구,잠실동,매일 10:00 - 23:00,,서울 송파구 올림픽로 240,잠실
럭키팝,성동구,성수동,24시간 운영,,서울 성동구 연무장길 52,성수
